order_no,sku,description,item_total,ship_state,return_probability
405-3171677-9557154,SKU:  AH-J3AO-R7DN,Pure 100% Leather Block Print Rectangular Jewelry Box with Mirror | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Yellow),,TELANGANA,0.6915883885846226
404-5794317-7737924,SKU:  TQ-OE6K-9DIK,"Ultra Slim 100% Pure Leather Men's Wallet with Cash, Card and Coin Compartments | Jet Black Gent's Money Organizer with Cover (1 pc)",,UTTAR PRADESH,0.6640040814339553
403-7876698-8356365,SKU:  3O-GBSM-TYZE,"100% Leather Ganesh Ji Piggy Coin Bank | Block Printed West Bengal Handicrafts (Shantiniketan Art) | Money Bank for Kids | Children's Gift Ideas (Red,",,MAHARASHTRA,0.7510301886799385
404-8031085-1381943,SKU:  54-D265-B74K,Set of 2 Pure Leather Block Print Round Jewelry Boxes | Button Closure Multiple Utility Case (Shantiniketan Handicrafts) (Brown),,DELHI,0.8223401072156474
405-1981073-5970737,SKU:  I1-AWVT-2QOL,"Women's Pure Leather Jhallar Clutch Purse with Zipper Compartments | Polka Dot Block Print Ladies Wallet (Brown, 1 pc)",,ASSAM,0.6494823979138676
405-0209265-6273962,SKU:  V6-KQJX-XGP2,"Women's Pure Leather Jhallar Clutch Purse with Zipper Compartments | Motif Block Print Ladies Wallet (Blue, 1 pc)",,KERALA,0.5115040174732458
